iter	Passed	Remaining
0	207	207252
1	230	114963
2	248	82705
3	270	67428
4	286	56930
5	302	50193
6	318	45244
7	336	41689
8	351	38747
9	374	37117
10	390	35113
11	405	33361
12	423	32158
13	436	30758
14	450	29564
15	467	28731
16	492	28466
17	511	27916
18	533	27532
19	553	27101
20	585	27278
21	595	26466
22	607	25807
23	619	25197
24	640	24975
25	653	24470
26	663	23920
27	674	23406
28	695	23282
29	714	23103
30	730	22848
31	748	22630
32	759	22250
33	778	22108
34	803	22149
35	822	22017
36	832	21665
37	854	21622
38	867	21366
39	887	21303
40	914	21381
41	928	21169
42	940	20922
43	959	20855
44	975	20697
45	998	20708
46	1025	20789
47	1040	20642
48	1065	20678
49	1076	20445
50	1093	20355
51	1107	20191
52	1132	20238
53	1146	20080
54	1170	20111
55	1191	20090
56	1218	20158
57	1245	20229
58	1267	20219
59	1286	20159
60	1308	20143
61	1326	20066
62	1341	19948
63	1360	19901
64	1385	19931
65	1398	19788
66	1408	19608
67	1418	19436
68	1443	19472
69	1461	19415
70	1479	19353
71	1500	19337
72	1519	19299
73	1534	19206
74	1551	19130
75	1574	19144
76	1594	19112
77	1608	19017
78	1621	18908
79	1642	18889
80	1676	19022
81	1696	18988
82	1719	19002
83	1731	18880
84	1749	18828
85	1776	18883
86	1797	18859
87	1816	18825
88	1834	18781
89	1848	18689
90	1858	18561
91	1882	18583
92	1901	18545
93	1912	18437
94	1938	18468
95	1955	18410
96	1981	18447
97	1998	18393
98	2010	18293
99	2031	18283
100	2046	18211
101	2056	18105
102	2068	18014
103	2086	17973
104	2107	17961
105	2128	17954
106	2139	17853
107	2166	17897
108	2199	17979
109	2230	18046
110	2241	17956
111	2251	17852
112	2263	17770
113	2285	17763
114	2316	17823
115	2335	17797
116	2360	17817
117	2371	17729
118	2383	17646
119	2412	17695
120	2429	17649
121	2456	17677
122	2490	17756
123	2506	17704
124	2526	17688
125	2554	17719
126	2584	17768
127	2608	17773
128	2635	17794
129	2667	17854
130	2700	17915
131	2715	17857
132	2725	17765
133	2737	17689
134	2757	17665
135	2777	17644
136	2792	17591
137	2814	17578
138	2832	17545
139	2848	17499
140	2877	17531
141	2909	17580
142	2938	17608
143	2953	17555
144	2965	17484
145	2976	17409
146	3001	17419
147	3033	17464
148	3045	17394
149	3075	17428
150	3097	17418
151	3128	17451
152	3148	17427
153	3163	17378
154	3187	17378
155	3204	17338
156	3222	17304
157	3234	17238
158	3249	17190
159	3273	17185
160	3290	17149
161	3314	17145
162	3335	17125
163	3354	17100
164	3368	17047
165	3399	17077
166	3410	17011
167	3432	17000
168	3451	16971
169	3470	16942
170	3496	16950
171	3517	16933
172	3541	16929
173	3564	16922
174	3579	16875
175	3600	16855
176	3628	16869
177	3649	16855
178	3668	16826
179	3689	16808
180	3721	16837
181	3742	16821
182	3767	16818
183	3785	16786
184	3805	16766
185	3823	16733
186	3852	16747
187	3881	16766
188	3896	16717
189	3911	16676
190	3938	16682
191	3958	16657
192	3980	16642
193	4003	16632
194	4020	16598
195	4036	16559
196	4051	16514
197	4081	16532
198	4100	16506
199	4111	16445
200	4129	16416
201	4140	16356
202	4167	16363
203	4184	16327
204	4211	16333
205	4231	16307
206	4247	16271
207	4264	16237
208	4278	16191
209	4292	16149
210	4310	16119
211	4343	16143
212	4365	16129
213	4382	16097
214	4405	16086
215	4421	16047
216	4440	16022
217	4461	16005
218	4490	16015
219	4508	15985
220	4529	15967
221	4553	15957
222	4570	15926
223	4589	15898
224	4606	15868
225	4634	15872
226	4654	15848
227	4665	15796
228	4681	15760
229	4692	15711
230	4720	15714
231	4733	15669
232	4747	15629
233	4769	15614
234	4796	15615
235	4815	15588
236	4838	15578
237	4849	15527
238	4858	15471
239	4894	15498
240	4919	15494
241	4950	15505
242	4965	15468
243	4975	15415
244	4998	15403
245	5016	15376
246	5050	15398
247	5076	15394
248	5091	15356
249	5115	15347
250	5126	15296
251	5148	15281
252	5168	15260
253	5196	15260
254	5210	15223
255	5245	15244
256	5263	15215
257	5274	15168
258	5296	15153
259	5326	15158
260	5350	15148
261	5361	15101
262	5387	15098
263	5403	15065
264	5432	15068
265	5447	15032
266	5480	15047
267	5494	15008
268	5517	14994
269	5534	14963
270	5569	14983
271	5589	14960
272	5610	14940
273	5646	14960
274	5659	14920
275	5676	14891
276	5705	14891
277	5732	14887
278	5756	14875
279	5785	14877
280	5800	14841
281	5810	14794
282	5834	14780
283	5849	14746
284	5876	14742
285	5905	14744
286	5921	14711
287	5939	14683
288	5953	14646
289	5970	14618
290	5991	14598
291	6021	14601
292	6041	14576
293	6063	14560
294	6086	14545
295	6097	14502
296	6112	14467
297	6139	14463
298	6165	14455
299	6188	14439
300	6198	14393
301	6222	14381
302	6241	14357
303	6255	14322
304	6268	14284
305	6292	14271
306	6311	14247
307	6327	14215
308	6338	14173
309	6349	14132
310	6377	14129
311	6404	14122
312	6418	14088
313	6432	14053
314	6457	14041
315	6479	14024
316	6495	13994
317	6511	13964
318	6538	13958
319	6565	13952
320	6584	13927
321	6605	13909
322	6633	13903
323	6656	13888
324	6673	13860
325	6683	13818
326	6699	13789
327	6720	13769
328	6732	13731
329	6745	13694
330	6763	13670
331	6773	13628
332	6783	13587
333	6793	13545
334	6818	13534
335	6835	13507
336	6848	13472
337	6860	13437
338	6878	13411
339	6899	13393
340	6915	13364
341	6926	13327
342	6947	13307
343	6958	13270
344	6975	13243
345	7000	13232
346	7019	13209
347	7033	13178
348	7044	13140
349	7062	13115
350	7095	13118
351	7120	13109
352	7134	13077
353	7159	13064
354	7196	13074
355	7211	13044
356	7233	13028
357	7249	13000
358	7276	12992
359	7342	13053
360	7494	13266
361	7627	13442
362	7795	13680
363	7919	13837
364	8138	14158
365	8291	14362
366	8425	14532
367	8561	14703
368	8716	14905
369	8879	15119
370	9030	15310
371	9180	15498
372	9367	15746
373	9489	15883
374	9574	15957
375	9687	16077
376	9885	16336
377	10054	16545
378	10177	16675
379	10323	16843
380	10432	16949
381	10542	17055
382	10686	17215
383	10821	17360
384	10927	17455
385	11039	17559
386	11138	17642
387	11283	17798
388	11416	17932
389	11533	18039
390	11684	18199
391	11785	18278
392	11883	18354
393	12036	18512
394	12163	18629
395	12237	18665
396	12259	18620
397	12273	18564
398	12285	18505
399	12310	18465
400	12327	18414
401	12348	18369
402	12369	18323
403	12391	18279
404	12418	18244
405	12438	18197
406	12451	18142
407	12477	18104
408	12495	18055
409	12505	17996
410	12525	17950
411	12558	17923
412	12568	17864
413	12588	17819
414	12603	17766
415	12629	17730
416	12642	17675
417	12664	17632
418	12676	17578
419	12695	17531
420	12714	17486
421	12735	17443
422	12764	17411
423	12780	17361
424	12798	17315
425	12809	17260
426	12837	17227
427	12858	17184
428	12869	17129
429	12886	17081
430	12911	17045
431	12940	17013
432	12961	16972
433	12984	16933
434	13013	16902
435	13028	16853
